Название региона;Столица
Республика Адыгея;Майкоп
Республика Башкортостан;Уфа
Республика Бурятия;Улан-Удэ
Республика Алтай;Горно-Алтайск
Республика Дагестан;Махачкала
Республика Ингушетия;Магас
Кабардино-Балкарская Республика;Нальчик
Республика Калмыкия;Элиста
Республика Карачаево-Черкессия;Черкесск
Республика Карелия;Петрозаводск
Республика Коми;Сыктывкар
Республика Марий Эл;Йошкар-Ола
Республика Мордовия;Саранск
Республика Саха (Якутия);Якутск
Республика Северная Осетия-Алания;Владикавказ
Республика Татарстан;Казань
Республика Тыва;Кызыл
Удмуртская Республика;Ижевск
Республика Хакасия;Абакан
Чеченская республика;Грозный
Чувашская Республика;Чебоксары
Алтайский край;Барнаул
Краснодарский край;Краснодар
Красноярский край;Красноярск
Приморский край;Владивосток
Ставропольский край;Ставрополь
Хабаровский край;Хабаровск
Амурская область;Благовещенск
Архангельская область;Архангельск
Астраханская область;Астрахань
Белгородская область;Белгород
Брянская область;Брянск
Владимирская область;Владимир
Волгоградская область;Волгоград
Вологодская область;Вологда
Воронежская область;Воронеж
Ивановская область;Иваново
Иркутская область;Иркутск
Калининградская область;Калининград
Калужская область;Калуга
Камчатский край;Петропавловск-Камчатский
Камчатская область;Петропавловск-Камчатский
Кемеровская область;Кемерово
Кировская область;Киров
Костромская область;Кострома
Курганская область;Курган
Курская область;Курск
Ленинградская область;Санкт-Петербург
Липецкая область;Липецк
Магаданская область;Магадан
Московская область;Москва
Мурманская область;Мурманск
Нижегородская область;Нижний Новгород
Новгородская область;Великий Новгород
Новосибирская область;Новосибирск
Омская область;Омск
Оренбургская область;Оренбург
Орловская область;Орел
Пензенская область;Пенза
Пермский край;Пермь
Пермская область;Пермь
Псковская область;Псков
Ростовская область;Ростов-на-Дону
Рязанская область;Рязань
Самарская область;Самара
Саратовская область;Саратов
Сахалинская область;Южно-Сахалинск
Свердловская область;Екатеринбург
Смоленская область;Смоленск
Тамбовская область;Тамбов
Тверская область;Тверь
Томская область;Томск
Тульская область;Тула
Тюменская область;Тюмень
Ульяновская область;Ульяновск
Челябинская область;Челябинск
Забайкальский край;Чита
Читинская область;Чита
Ярославская область;Ярославль
Еврейская автономная область;Биробиджан
Агинский Бурятский автономный округ;пгт Агинское
Коми-Пермяцкий автономный округ;Кудымкар
Корякский автономный округ;Палана
Ненецкий автономный округ;Нарьян-Мар
Таймырский (Долгано-Ненецкий) автономный округ;Дудинка
Усть-Ордынский Бурятский автономный округ;пгт Усть-Ордынский
Ханты-Мансийский автономный округ - Югра;Ханты-Мансийск
Чукотский автономный округ;Анадырь
Эвенкийский автономный округ;Тура
Ямало-Ненецкий автономный округ;Салехард
Республика Крым;Симферополь
Чеченская Республика;Грозный
